UF,MA
Cidade,BARREIRINHAS
Nome Posto,GONCALO
Latitude,-3.0438888888888886
Longitude,-43.236666666666665
Codigo,343011
Qtd. Anos,36
Ano,Maxima
1984,22.9
1985,97
1986,110.2
1987,79.2
1988,99.6
1989,80.8
1990,60.2
1991,86.8
1992,165.8
1993,70.2
1994,56.8
1995,56.9
1996,115.5
1997,98.2
1998,58.2
1999,74.2
2000,97.5
2001,56.4
2002,69.8
2003,98.9
2004,66.4
2005,56.4
2006,74.6
2007,79.2
2008,57.6
2009,85.6
2010,122.8
2011,148
2012,62.2
2013,55.5
2014,100
2015,98.8
2016,129.2
2017,98.3
2018,100
2019,103.1
