UF,MA
Cidade,CANDIDO MENDES
Nome Posto,CANDIDO MENDES
Latitude,-1.4558333333333333
Longitude,-45.72805555555556
Codigo,145006
Qtd. Anos,34
Ano,Maxima
1986,65.5
1987,83
1988,140.2
1989,97.5
1990,75.8
1991,155.6
1992,53.4
1993,111.6
1994,100.5
1995,71.2
1996,110
1997,105.1
1998,94.6
1999,52.2
2000,82.1
2001,99.3
2002,102.6
2003,108.5
2004,50.9
2005,108.3
2006,113.5
2007,77.8
2008,139.5
2009,97.8
2010,89.1
2011,96.3
2012,85.6
2013,75.1
2014,101.7
2015,88.9
2016,106.4
2017,105.9
2018,147.2
2019,144.5
