UF,MA
Cidade,IMPERATRIZ
Nome Posto,RETA KM-32
Latitude,-4.829722222222222
Longitude,-47.26916666666666
Codigo,447002
Qtd. Anos,36
Ano,Maxima
1984,78.8
1985,200
1986,138.2
1987,164.4
1988,152.6
1989,164.2
1990,74
1991,132.4
1992,96
1993,70.7
1994,113.5
1995,84.6
1996,87.6
1997,121.9
1998,116.2
1999,98.5
2000,73.1
2001,81.6
2002,53.3
2003,97
2004,97.6
2005,111.2
2006,146.3
2007,81.6
2008,131.7
2009,120.6
2010,92.6
2011,67.4
2012,48.7
2013,43.2
2014,81.3
2015,47.1
2016,50.8
2017,62.5
2018,170.5
2019,120.8
