UF,MA
Cidade,PIRAPEMAS
Nome Posto,PIRITORO II
Latitude,-3.706388888888889
Longitude,-44.28722222222222
Codigo,344007
Qtd. Anos,48
Ano,Maxima
1972,90.8
1973,64.6
1974,99.8
1975,75
1976,81
1977,81
1978,94.2
1979,70
1980,85.8
1981,77.8
1982,78.6
1983,92.4
1984,82.8
1985,116.6
1986,140.8
1987,89.6
1988,97
1989,91
1990,90.8
1991,72.4
1992,85
1993,71.4
1994,79
1995,85.1
1996,86.7
1997,121.1
1998,128
1999,83.3
2000,96
2001,59.7
2002,58.5
2003,82.6
2004,145.3
2005,129.6
2006,82.6
2007,67.1
2008,89.3
2009,78.6
2010,92.1
2011,91.1
2012,93.5
2013,58.3
2014,72.1
2015,74.2
2016,89.2
2017,94.3
2018,102.4
2019,114.7
