UF,MA
Cidade,VITORINO FREIRE
Nome Posto,SAO JOAO DO GRAJAU
Latitude,-4.240555555555556
Longitude,-45.35805555555556
Codigo,445010
Qtd. Anos,36
Ano,Maxima
1984,26
1985,91.7
1986,133.8
1987,68.5
1988,76.3
1989,91.4
1990,95.1
1991,95.3
1992,83.3
1993,97.3
1994,98.2
1995,99.2
1996,107.1
1997,148.5
1998,106.7
1999,93.5
2000,68.5
2001,80
2002,122.8
2003,88.2
2004,119.5
2005,1006.5
2006,99
2007,188.7
2008,132.9
2009,85.2
2010,139.6
2011,114.6
2012,63.4
2013,78
2014,71.6
2015,94.1
2016,58.7
2017,77.7
2018,116.8
2019,67.1
