UF,MA
Cidade,VARGEM GRANDE
Nome Posto,IGUARA
Latitude,-3.553611111111111
Longitude,-43.87361111111111
Codigo,343001
Qtd. Anos,49
Ano,Maxima
1971,78.6
1972,104.2
1973,115
1974,88.3
1975,53
1976,105
1977,100.4
1978,150.4
1979,61.8
1980,81.2
1981,137.4
1982,86.4
1983,71
1984,93.2
1985,82
1986,76.4
1987,96
1988,90.4
1989,115.8
1990,86.8
1991,95.6
1992,107.6
1993,77.5
1994,71.9
1995,115.8
1996,70.5
1997,79.5
1998,87.4
1999,129.5
2000,64
2001,71.7
2002,94.3
2003,73.5
2004,133.4
2005,95
2006,58.7
2007,121.1
2008,87.5
2009,81.5
2010,98.4
2011,84
2012,80
2013,105.9
2014,63.3
2015,65.8
2016,83.3
2017,92.6
2018,108
2019,129
