UF,MA
Cidade,MIRADOR
Nome Posto,CAMPO LARGO
Latitude,-6.066944444444444
Longitude,-44.714444444444446
Codigo,644015
Qtd. Anos,49
Ano,Maxima
1971,80.6
1972,90.4
1973,98
1974,77.4
1975,114
1976,98.4
1977,95
1978,121.6
1979,83.8
1980,95
1981,59.4
1982,77.6
1983,70.6
1984,60
1985,63.2
1986,73
1987,117
1988,86.2
1989,72.6
1990,88.1
1991,74.2
1992,82
1993,47
1994,65.1
1995,86.4
1996,77.9
1997,127.1
1998,73.6
1999,115.1
2000,107.4
2001,88.5
2002,59.1
2003,65.6
2004,178.8
2005,233.7
2006,97.7
2007,80.8
2008,90
2009,101.5
2010,110.2
2011,91
2012,94
2013,94.4
2014,82.5
2015,79
2016,100.9
2017,110.6
2018,55.8
2019,74.8
