UF,MA
Cidade,SITIO NOVO
Nome Posto,SITIO NOVO
Latitude,-5.884166666666666
Longitude,-46.70194444444445
Codigo,546007
Qtd. Anos,38
Ano,Maxima
1982,56.6
1983,64.2
1984,94.2
1985,94.8
1986,110.6
1987,96.8
1988,82.4
1989,111.6
1990,75.2
1991,81.3
1992,72.4
1993,60.2
1994,77.4
1995,137.4
1996,100.2
1997,100.2
1998,141.8
1999,81.8
2000,57.4
2001,112
2002,86.4
2003,57.4
2004,110.8
2005,78.7
2006,78.2
2007,63
2008,111.1
2009,109.2
2010,97.2
2011,75.9
2012,74.3
2013,73.5
2014,59.3
2015,57
2016,83.4
2017,124.4
2018,102.9
2019,80.4
