UF,MA
Cidade,SAO RAIMUNDO DAS MANGABEIRAS
Nome Posto,FAZENDA TIGRE
Latitude,-7.374722222222222
Longitude,-45.60777777777778
Codigo,745005
Qtd. Anos,36
Ano,Maxima
1984,23
1985,150
1986,147.2
1987,142.3
1988,106.6
1989,90.5
1990,63.9
1991,137
1992,104.5
1993,57.2
1994,76.9
1995,100
1996,81.1
1997,138.1
1998,67.3
1999,64.6
2000,93.3
2001,92.3
2002,136.4
2003,98.7
2004,84.1
2005,70.2
2006,135.1
2007,47.6
2008,102.4
2009,77.2
2010,108.5
2011,89.8
2012,75.3
2013,97.5
2014,81.5
2015,86.6
2016,126
2017,64.3
2018,80.6
2019,60
