UF,MA
Cidade,TURIACU
Nome Posto,BR-316 / RIO PARUA
Latitude,-2.504722222222222
Longitude,-45.784166666666664
Codigo,245007
Qtd. Anos,39
Ano,Maxima
1981,6
1982,26
1983,80.9
1984,90
1985,88.8
1986,84.6
1987,84
1988,65
1989,98.4
1990,141.7
1991,128.7
1992,4.5
1993,71.1
1994,29.9
1995,40.6
1996,60.2
1997,60.2
1998,70.2
1999,72.5
2000,86.6
2001,154.5
2002,63.9
2003,95.7
2004,94.8
2005,74.3
2006,133.5
2007,108.2
2008,118.3
2009,105.2
2010,88.5
2011,64.3
2012,40.4
2013,63.3
2014,49.3
2015,70.5
2016,80.8
2017,90.5
2018,135.9
2019,61.8
