UF,MA
Cidade,BURITI BRAVO
Nome Posto,MENDES
Latitude,-5.7091666666666665
Longitude,-43.58722222222222
Codigo,543004
Qtd. Anos,50
Ano,Maxima
1970,93
1971,70.4
1972,89
1973,50.4
1974,110.2
1975,111.4
1976,128
1977,64
1978,101.4
1979,79
1980,100.4
1981,53
1982,66.1
1983,121.3
1984,59
1985,122.4
1986,63.2
1987,79
1988,74.6
1989,149.1
1990,128.7
1991,77.2
1992,87.7
1993,95.4
1994,110.2
1995,80.7
1996,121.3
1997,97.2
1998,129.4
1999,111.7
2000,115
2001,100.7
2002,65.3
2003,58.7
2004,82.1
2005,84.7
2006,71.2
2007,82.2
2008,55
2009,96.1
2010,74.1
2011,101.7
2012,74.6
2013,85.6
2014,81.6
2015,55.9
2016,68.4
2017,95
2018,93
2019,42
