UF,MA
Cidade,SANTA LUZIA
Nome Posto,VALE DO PINDARE
Latitude,-4.698055555555555
Longitude,-46.939166666666665
Codigo,446002
Qtd. Anos,36
Ano,Maxima
1984,28.1
1985,113.6
1986,96.2
1987,90.2
1988,100.5
1989,80.2
1990,80.2
1991,50.1
1992,100.3
1993,71.6
1994,86
1995,104.2
1996,114.9
1997,47
1998,92.5
1999,87.3
2000,74.7
2001,97.8
2002,72.7
2003,69.4
2004,92
2005,125
2006,103.5
2007,93.5
2008,155
2009,133.2
2010,98.6
2011,113.2
2012,73.9
2013,85.6
2014,71.5
2015,41
2016,41.6
2017,41.7
2018,42.2
2019,42.2
