UF,MA
Cidade,GRAJAU
Nome Posto,FORTALEZA
Latitude,-5.604444444444444
Longitude,-46.23861111111111
Codigo,546006
Qtd. Anos,41
Ano,Maxima
1979,35.4
1980,75.2
1981,77.8
1982,75
1983,82.2
1984,100.8
1985,82.8
1986,87.4
1987,65.4
1988,98.4
1989,76.6
1990,34.8
1991,89.4
1992,150.8
1993,50.3
1994,72.8
1995,121.5
1996,62.6
1997,75.6
1998,78.6
1999,53.6
2000,124.6
2001,101.9
2002,78.3
2003,85.7
2004,87.4
2005,147.8
2006,81
2007,89.2
2008,68.8
2009,112.1
2010,65.7
2011,75.5
2012,69.7
2013,46.4
2014,82.4
2015,67.5
2016,74.5
2017,101.8
2018,86.2
2019,62.6
