UF,MA
Cidade,CAROLINA
Nome Posto,CAROLINA-2
Latitude,-7.333333333333333
Longitude,-47.46666666666667
Codigo,747003
Qtd. Anos,50
Ano,Maxima
1949,92
1950,107.6
1951,133.6
1952,93.6
1953,70
1954,96.4
1955,69.4
1956,67.8
1957,65.2
1958,98
1959,69.4
1960,107.4
1961,84.2
1962,66.2
1963,68.2
1964,91
1965,48.6
1966,82
1967,87.2
1968,133.1
1969,82.6
1970,94.2
1971,96
1972,109.6
1973,147.2
1974,84
1975,74
1976,81.4
1977,73.7
1978,65.9
1979,121.6
1980,116.8
1981,95.6
1982,62.4
1983,134.8
1984,67.4
1985,106.1
1986,101.3
1987,73.2
1988,88.4
1989,85.7
1990,96.6
1991,81.2
1992,93.8
1993,135.3
1994,69.2
1995,90.2
1996,105.3
1997,99
1998,83.2
