UF,MA
Cidade,BALSAS
Nome Posto,BREJO COMPRIDO
Latitude,-7.9286111111111115
Longitude,-45.98861111111111
Codigo,746007
Qtd. Anos,37
Ano,Maxima
1983,85.4
1984,73.2
1985,85.6
1986,109
1987,60.7
1988,75.3
1989,122.1
1990,69.3
1991,80.1
1992,116.3
1993,66.5
1994,87
1995,64
1996,87
1997,89
1998,61
1999,143.5
2000,64
2001,94
2002,81.5
2003,102.8
2004,78.1
2005,168.3
2006,117
2007,104.5
2008,103.3
2009,116.3
2010,133.4
2011,145.1
2012,55.2
2013,80.5
2014,72.6
2015,52.6
2016,98.2
2017,53.2
2018,115.2
2019,120.1
