UF,MA
Cidade,ITAPECURU MIRIM
Nome Posto,MIRANDA
Latitude,-3.5666666666666664
Longitude,-44.583333333333336
Codigo,344012
Qtd. Anos,36
Ano,Maxima
1984,49.4
1985,154.2
1986,90.4
1987,71.4
1988,118.4
1989,88.4
1990,97.4
1991,164.4
1992,157
1993,60.6
1994,71.8
1995,100
1996,105.7
1997,73.1
1998,137.5
1999,98.7
2000,95.3
2001,76.1
2002,77.3
2003,93.7
2004,102.2
2005,104.1
2006,188.8
2007,106.7
2008,126.3
2009,153.2
2010,154.5
2011,113
2012,144.9
2013,102.7
2014,80
2015,110.2
2016,82.5
2017,83.3
2018,95.1
2019,76.5
