UF,MA
Cidade,PRESIDENTE JUSCELINO
Nome Posto,PRESIDENTE JUSCELINO
Latitude,-3.0847222222222226
Longitude,-44.08361111111111
Codigo,344010
Qtd. Anos,37
Ano,Maxima
1983,124.6
1984,76
1985,120.2
1986,132.4
1987,120.3
1988,60.7
1989,75.8
1990,74.5
1991,85.9
1992,42
1993,39.8
1994,107.7
1995,126
1996,128
1997,73.5
1998,85.3
1999,101.1
2000,97.8
2001,104
2002,70.3
2003,90.8
2004,122.9
2005,148.4
2006,133.3
2007,130
2008,89
2009,102.1
2010,73.9
2011,91
2012,71
2013,93.8
2014,82.8
2015,73.4
2016,148.7
2017,109.7
2018,92.4
2019,98.2
