UF,MA
Cidade,SANTA LUZIA
Nome Posto,FAZENDA PEDREIRAS
Latitude,-4.4094444444444445
Longitude,-46.74916666666667
Codigo,446001
Qtd. Anos,36
Ano,Maxima
1984,26.5
1985,135.6
1986,86.1
1987,65.7
1988,77.4
1989,93.4
1990,84.3
1991,41.8
1992,40
1993,56.2
1994,60.9
1995,78.7
1996,62.8
1997,43.9
1998,78.2
1999,61.2
2000,148.8
2001,52.8
2002,58.5
2003,63.2
2004,117
2005,109.2
2006,67.5
2007,61.3
2008,69
2009,86
2010,83.3
2011,88
2012,23.5
2013,60.2
2014,82.2
2015,51.3
2016,99
2017,103.9
2018,69.5
2019,64.3
