UF,MA
Cidade,SANTA QUITERIA DO MARANHAO
Nome Posto,BARRA DA ONCA
Latitude,-3.3647222222222224
Longitude,-42.723888888888894
Codigo,342009
Qtd. Anos,36
Ano,Maxima
1984,25
1985,80.4
1986,80.8
1987,70.5
1988,100.6
1989,100.8
1990,150
1991,72
1992,68.2
1993,67.6
1994,84.5
1995,77.6
1996,105.4
1997,100.7
1998,53.5
1999,58.3
2000,112.3
2001,74.5
2002,62.1
2003,100.5
2004,78.8
2005,62.7
2006,95.4
2007,117.5
2008,125.5
2009,94.6
2010,127.6
2011,96.2
2012,101.3
2013,59.6
2014,102.4
2015,78.7
2016,59.5
2017,84.9
2018,66.7
2019,53.5
