UF,MA
Cidade,TURIACU
Nome Posto,TURIACU
Latitude,-1.6677777777777776
Longitude,-45.36833333333333
Codigo,145004
Qtd. Anos,38
Ano,Maxima
1949,175.8
1950,84
1951,76.2
1952,86.1
1953,89.8
1954,107.6
1955,104.7
1956,90.4
1957,83.6
1958,93.4
1959,134
1960,119.4
1961,128.4
1962,99.2
1963,76.5
1976,2.6
1977,149.2
1978,98.4
1979,172.2
1980,104.4
1981,108.6
1982,100.3
1983,75.3
1984,65.2
1985,191.9
1986,119.4
1987,151
1988,66
1989,114.6
1990,120
1991,138.3
1992,107.6
1993,93.6
1994,87.5
1995,92
1996,129.6
1997,113
1998,92.7
