UF,MA
Cidade,CODO
Nome Posto,PALMEIRA DO NORTE
Latitude,-4.420555555555556
Longitude,-43.649166666666666
Codigo,443011
Qtd. Anos,37
Ano,Maxima
1983,101
1984,124
1985,142.4
1986,82
1987,100.3
1988,113
1989,153
1990,96
1991,55
1992,102.5
1993,60
1994,70
1995,115.6
1996,100.3
1997,153
1998,97.2
1999,115.2
2000,94.8
2001,113.5
2002,98.3
2003,51.3
2004,175.5
2005,84.8
2006,115.6
2007,83.6
2008,135.2
2009,74.3
2010,110
2011,96.5
2012,65.4
2013,67.3
2014,71.1
2015,56.8
2016,55
2017,81.9
2018,90.2
2019,140
