UF,MA
Cidade,TASSO FRAGOSO
Nome Posto,BABILONIA
Latitude,-8.317499999999999
Longitude,-45.967777777777776
Codigo,845003
Qtd. Anos,37
Ano,Maxima
1983,150.4
1984,80.7
1985,75
1986,75.8
1987,75.9
1988,76.2
1989,75
1990,60.2
1991,90.2
1992,81.9
1993,80.2
1994,96.6
1995,60
1996,78.7
1997,89.7
1998,58.3
1999,101.7
2000,86.1
2001,68.5
2002,73.4
2003,63
2004,89.6
2005,86.1
2006,64.9
2007,109.7
2008,67.2
2009,58.6
2010,80.1
2011,59.5
2012,55.5
2013,72.5
2014,49.1
2015,44.6
2016,80.2
2017,60.2
2018,110
2019,100
