UF,MA
Cidade,BARAO DE GRAJAU
Nome Posto,BARAO DE GRAJAU
Latitude,-6.761388888888889
Longitude,-43.02777777777778
Codigo,643013
Qtd. Anos,38
Ano,Maxima
1982,50.2
1983,78.4
1984,90.4
1985,94
1986,101.2
1987,78
1988,62
1989,74.2
1990,98.8
1991,89.6
1992,83.2
1993,42.6
1994,62
1995,69.4
1996,77.6
1997,83.6
1998,67.3
1999,121
2000,87.6
2001,95.2
2002,105
2003,50
2004,118
2005,84.8
2006,87
2007,52.6
2008,77
2009,81.8
2010,61.4
2011,160.8
2012,82.7
2013,107.4
2014,83
2015,74.6
2016,77.9
2017,152.3
2018,112.8
2019,62.2
