UF,MA
Cidade,MATA ROMA
Nome Posto,MATA ROMA
Latitude,-3.6258333333333335
Longitude,-43.11222222222222
Codigo,343009
Qtd. Anos,36
Ano,Maxima
1984,80
1985,120
1986,100.2
1987,120
1988,88
1989,85.2
1990,100.2
1991,114.2
1992,50.2
1993,140.2
1994,62.3
1995,145
1996,103
1997,112
1998,70.7
1999,80
2000,91.3
2001,110
2002,100.5
2003,105.1
2004,89.6
2005,126.1
2006,69.1
2007,133.9
2008,143.4
2009,151.1
2010,110.1
2011,143.9
2012,31.9
2013,30.1
2014,123.6
2015,92.3
2016,90.7
2017,102.9
2018,84.5
2019,94.5
