UF,MA
Cidade,CAROLINA
Nome Posto,CAROLINA-1
Latitude,-7.323055555555555
Longitude,-47.464444444444446
Codigo,747000
Qtd. Anos,51
Ano,Maxima
1969,95
1970,89.2
1971,94
1972,105
1973,121.6
1974,56.8
1975,28
1976,51.8
1977,87.4
1978,60.9
1979,110.2
1980,133.2
1981,89.2
1982,73.3
1983,162.8
1984,62.3
1985,77.9
1986,143.2
1987,75.6
1988,103.3
1989,86.2
1990,104.2
1991,65.3
1992,133
1993,63.2
1994,64.7
1995,65.4
1996,95.8
1997,110.6
1998,75.7
1999,76.5
2000,86.2
2001,121.4
2002,142.7
2003,88.3
2004,116.2
2005,97
2006,89.2
2007,134.9
2008,78.1
2009,143.5
2010,102.7
2011,76.5
2012,65.6
2013,138
2014,86
2015,87
2016,90.5
2017,91.8
2018,97.5
2019,61
