UF,DF
Cidade,BRASILIA
Nome Posto,JOCKEY CLUB
Latitude,-15.805833333333334
Longitude,-47.99805555555556
Codigo,1547018
Qtd. Anos,42
Ano,Maxima
1978,25
1979,40.1
1980,65.8
1981,109.4
1982,57
1983,100
1984,77
1985,65.7
1986,70.8
1987,66.7
1988,77.6
1989,68.2
1990,69.2
1991,71.4
1992,93.2
1993,70.2
1994,70
1995,79.8
1996,75.6
1997,118.8
1998,123.2
1999,64.8
2000,76.8
2001,61.8
2002,83.4
2003,65.4
2004,78.6
2005,97.4
2006,94.2
2007,83.4
2008,113.6
2009,72.6
2010,85.8
2011,61.2
2012,71.4
2013,101.2
2014,103.2
2015,74.2
2016,83.4
2017,72.8
2018,70.6
2019,131.2
