UF,DF
Cidade,BRASILIA
Nome Posto,BRASILIA
Latitude,-15.79
Longitude,-47.922777777777775
Codigo,1547004
Qtd. Anos,60
Ano,Maxima
1961,10.3
1962,71
1963,132.8
1964,111.8
1965,92.4
1966,75.5
1967,69
1968,75.1
1969,85
1970,91.7
1971,95.7
1972,91
1973,67
1974,79
1975,67
1976,99.5
1977,68.3
1978,64.3
1979,81.6
1980,73
1981,76.9
1982,63.3
1983,85.8
1984,68
1985,62.7
1986,45.1
1987,90
1988,69.1
1989,67.6
1990,80.7
1991,99.8
1992,131
1993,97.3
1994,77
1995,62.3
1996,51
1997,75.2
1998,93.6
1999,66.9
2000,102.1
2001,69.4
2002,94.8
2003,70.4
2004,66.4
2005,110.7
2006,103.1
2007,71
2008,90.4
2009,98.1
2010,74.2
2011,68.2
2012,87.6
2013,94.4
2014,85.8
2015,60.8
2016,99.6
2017,65.5
2018,83.3
2019,88.3
2020,53.8
