UF,DF
Cidade,BRASILIA
Nome Posto,ETE PARANOA
Latitude,-15.796666666666667
Longitude,-47.78361111111111
Codigo,1547020
Qtd. Anos,40
Ano,Maxima
1978,41.2
1979,64
1980,83.2
1981,80
1982,64.7
1983,98.3
1984,90.4
1985,66.4
1986,37.2
1987,47.2
1988,49.2
1989,68.4
1990,79.6
1991,80.2
1992,67.4
1993,60.1
1994,74.2
1995,58.1
1996,69.3
1997,64.5
1998,122.5
1999,82.9
2000,67.3
2001,74.4
2002,88
2003,49.4
2004,114.4
2005,98.2
2006,121.4
2007,82
2008,106.3
2009,67.6
2010,84.4
2011,22.5
2012,6.8
2015,21
2016,57
2017,75
2018,24
2019,43.3
