UF,DF
Cidade,BRASILIA
Nome Posto,ETE RIACHO FUNDO-GM-3
Latitude,-15.890555555555554
Longitude,-48.025
Codigo,1548010
Qtd. Anos,42
Ano,Maxima
1978,37
1979,67
1980,90.4
1981,97.6
1982,60.6
1983,94
1984,61.1
1985,70.8
1986,55.8
1987,64.2
1988,73.4
1989,60.8
1990,72.8
1991,79.4
1992,60.8
1993,87.4
1994,58.6
1995,65.2
1996,92.4
1997,60.2
1998,114.6
1999,72
2000,54.4
2001,59.2
2002,63.4
2003,70.2
2004,83.2
2005,81
2006,150
2007,85.6
2008,130.8
2009,74.2
2010,61
2011,138.8
2012,59.3
2013,62.9
2014,91.7
2015,74.5
2016,85.9
2017,59
2018,59.8
2019,105.2
