UF,DF
Cidade,BRASILIA
Nome Posto,ETA - BRAZLANDIA
Latitude,-15.659166666666668
Longitude,-48.190555555555555
Codigo,1548007
Qtd. Anos,47
Ano,Maxima
1971,80.5
1972,46.7
1973,86.4
1974,68.6
1975,57.9
1978,73.4
1979,70.8
1980,77.5
1981,106
1982,90.4
1983,84.6
1984,61
1985,75.2
1986,73.2
1987,86.7
1988,64.6
1989,75
1990,111
1991,70
1992,111.6
1993,69.6
1994,68
1995,71.6
1996,80.1
1997,70.6
1998,67.9
1999,116.6
2000,63.8
2001,71.3
2002,55
2003,82.2
2004,79.6
2005,75.4
2006,86.4
2007,45
2008,54
2009,70
2010,34
2011,40
2012,68.5
2013,58
2014,36.1
2015,71.1
2016,73
2017,77.6
2018,58.3
2019,69.4
