UF,DF
Cidade,BRASILIA
Nome Posto,TAQUARA
Latitude,-15.632222222222223
Longitude,-47.52027777777778
Codigo,1547013
Qtd. Anos,48
Ano,Maxima
1971,56.2
1972,84.2
1973,86.5
1974,61.4
1975,64.2
1976,62.5
1978,56.2
1979,100.7
1980,75.4
1981,65
1982,69.4
1983,42.8
1984,51
1985,69.4
1986,58
1987,60
1988,122
1989,90.4
1990,64.8
1991,61.2
1992,106
1993,102
1994,95.8
1995,49.6
1996,70.8
1997,59.4
1998,73
1999,71.4
2000,70
2001,58.6
2002,56
2003,69.6
2004,80
2005,83
2006,90.8
2007,73.6
2008,69.2
2009,75
2010,54
2011,69.6
2012,46.6
2013,60.2
2014,101.5
2015,60
2016,103.7
2017,56.9
2018,74.6
2019,34.3
