UF,DF
Cidade,BRASILIA
Nome Posto,ANA SEDE
Latitude,-15.818055555555555
Longitude,-47.94499999999999
Codigo,1547032
Qtd. Anos,19
Ano,Maxima
2002,83.1
2003,117.1
2004,105.5
2005,120
2006,116.2
2007,92.5
2008,83.9
2009,87.2
2010,38
2011,67.8
2012,96.6
2013,105.7
2014,63.3
2015,58.2
2016,98
2017,41.7
2018,93.6
2019,36.2
2020,34.4
