UF,DF
Cidade,BRASILIA
Nome Posto,AREA ALFA
Latitude,-15.979166666666666
Longitude,-47.975
Codigo,1547014
Qtd. Anos,46
Ano,Maxima
1972,73.2
1973,80.6
1974,108
1975,49
1976,50
1979,184.2
1980,93
1981,105
1982,83
1983,75
1984,59.2
1985,66.4
1986,71
1987,82
1988,90.6
1989,100
1990,78.2
1991,114
1992,72.2
1993,56.4
1994,84.3
1995,83
1996,63.4
1997,78.2
1998,144
1999,60.2
2000,100
2001,78.1
2002,85.1
2003,97.2
2004,90
2005,100
2006,102
2007,67
2008,77.2
2009,85.8
2010,59.6
2011,71.9
2012,94.4
2013,93.4
2014,113.7
2015,71.7
2016,104.1
2017,56.1
2018,42.3
2019,57.4
