UF,DF
Cidade,BRASILIA
Nome Posto,ETA CABECA DE VEADO
Latitude,-15.890833333333333
Longitude,-47.845555555555556
Codigo,1547019
Qtd. Anos,42
Ano,Maxima
1978,29.9
1979,75.8
1980,70
1981,65.6
1982,69.3
1983,104.5
1984,53.8
1985,67.4
1986,68.4
1987,85.6
1988,59.8
1989,79.2
1990,53.4
1991,89.4
1992,66.4
1993,69.8
1994,105.2
1995,131.4
1996,61.8
1997,108.4
1998,102.3
1999,78.3
2000,95.3
2001,60.2
2002,51.3
2003,67.4
2004,45.3
2005,117.3
2006,122
2007,102.1
2008,68.5
2009,77.9
2010,51.4
2011,103
2012,125.5
2013,69.9
2014,95.5
2015,64.4
2016,66.7
2017,59.7
2018,90.4
2019,98.5
