UF,DF
Cidade,BRASILIA
Nome Posto,RIO PRETO
Latitude,-15.792222222222222
Longitude,-47.43277777777777
Codigo,1547022
Qtd. Anos,42
Ano,Maxima
1978,36.4
1979,100
1980,56.2
1981,62.4
1982,49
1983,42.1
1984,56.4
1985,68.6
1986,51.3
1987,57
1988,67.2
1989,92.2
1990,59.8
1991,60.4
1992,92.3
1993,78.2
1994,82
1995,60.1
1996,49.4
1997,74.2
1998,50.2
1999,51.2
2000,112.1
2001,51.2
2002,53.3
2003,89.1
2004,90.1
2005,96.3
2006,73.4
2007,81.2
2008,115.2
2009,94.3
2010,74.4
2011,80.2
2012,54.4
2013,66.1
2014,42.5
2015,65.3
2016,66.2
2017,52.7
2018,87.9
2019,108.1
