UF,DF
Cidade,BRASILIA
Nome Posto,CONTAGEM
Latitude,-15.653055555555556
Longitude,-47.87888888888889
Codigo,1547010
Qtd. Anos,48
Ano,Maxima
1970,60.3
1971,75
1972,90.8
1973,66.2
1974,60.1
1975,73.9
1976,65.2
1977,83.5
1978,86.6
1979,97.8
1980,73.6
1981,95.6
1982,161.7
1983,79
1984,43.6
1985,77.6
1986,57.2
1987,96.3
1988,85.2
1989,80.8
1990,111.2
1991,59.8
1992,91.6
1993,60.2
1994,96.3
1995,53.6
1996,103.2
1997,112.8
1998,84.4
1999,84.4
2000,58.6
2001,73.4
2002,65.6
2003,60.8
2004,110.6
2005,98.5
2006,99.5
2007,43.2
2008,95
2009,61.2
2010,76
2011,110.4
2012,34.8
2013,0.4
2016,16.2
2017,10.5
2018,42.2
2019,26.9
