UF,DF
Cidade,BRASILIA
Nome Posto,GAMA ETE ALAGADO
Latitude,-16.02472222222222
Longitude,-48.09777777777778
Codigo,1548005
Qtd. Anos,50
Ano,Maxima
1970,66
1971,85.7
1972,68.6
1973,130.9
1974,79.7
1975,82
1976,47.3
1977,76.6
1978,53.6
1979,70.3
1980,112.3
1981,86
1982,93.6
1983,95
1984,94.3
1985,55.7
1986,79.7
1987,74.2
1988,62.4
1989,62.8
1990,66.4
1991,99
1992,82.2
1993,65
1994,109.3
1995,83
1996,79.4
1997,87
1998,78.2
1999,66.8
2000,50.8
2001,56
2002,74.8
2003,83.8
2004,89.4
2005,100.1
2006,108.2
2007,62
2008,79.6
2009,89
2010,25
2011,58
2012,93
2013,62
2014,58
2015,68
2016,64
2017,49.8
2018,90
2019,55.7
