UF,DF
Cidade,BRASILIA
Nome Posto,DESCOBERTO
Latitude,-15.779444444444445
Longitude,-48.23027777777778
Codigo,1548008
Qtd. Anos,42
Ano,Maxima
1978,33
1979,68.8
1980,88.3
1981,127
1982,69.4
1983,108.4
1984,70.6
1985,59.2
1986,43.8
1987,75
1988,73.2
1989,56.6
1990,47.5
1991,57.4
1992,54.6
1993,79.8
1994,79.8
1995,67
1996,80
1997,56
1998,58
1999,93
2000,107
2001,80
2002,60.2
2003,55.4
2004,82.2
2005,75
2006,85
2007,96.8
2008,53.2
2009,99.8
2010,49.4
2011,66
2012,50.9
2013,84.2
2014,68.3
2015,77.5
2016,83.9
2017,60.3
2018,65
2019,10.5
