UF,DF
Cidade,BRASILIA
Nome Posto,ETE - SOBRADINHO
Latitude,-15.661111111111111
Longitude,-47.81166666666666
Codigo,1547015
Qtd. Anos,45
Ano,Maxima
1972,84.9
1973,60.2
1974,39.8
1975,50.8
1976,95
1978,70.6
1979,90.5
1980,92.5
1981,69.5
1982,56.4
1983,78.2
1984,61.9
1987,86.6
1988,70.2
1989,62.4
1990,76.2
1991,54.2
1992,89.6
1993,123.4
1994,95.6
1995,60.8
1996,48.8
1997,55.3
1998,87.2
1999,83.2
2000,54.2
2001,55.9
2002,48.6
2003,50
2004,125
2005,145.8
2006,78.8
2007,77.2
2008,66.4
2009,81.6
2010,40.5
2011,61.7
2012,78
2013,47.2
2014,82.1
2015,38.2
2016,76.3
2017,60.7
2018,68.7
2019,66.7
