UF,DF
Cidade,BRASILIA
Nome Posto,BARREIRO DF-130
Latitude,-15.838611111111112
Longitude,-47.62722222222222
Codigo,1547021
Qtd. Anos,42
Ano,Maxima
1978,71.6
1979,92.6
1980,87.6
1981,65.6
1982,90.2
1983,90.2
1984,60.4
1985,57.2
1986,51.4
1987,88
1988,58
1989,120
1990,68.4
1991,74.4
1992,85.6
1993,83
1994,70
1995,53
1996,63
1997,137
1998,92
1999,65
2000,51
2001,81
2002,55
2003,55
2004,100.6
2005,99.2
2006,82.2
2007,50
2008,83.4
2009,70.2
2010,104
2011,56.4
2012,85.2
2013,86.4
2014,77.9
2015,91.7
2016,78
2017,100.9
2018,62.4
2019,53.2
