UF,DF
Cidade,PLANALTINA
Nome Posto,PLANALTINA
Latitude,-15.643055555555556
Longitude,-47.65083333333333
Codigo,1547002
Qtd. Anos,41
Ano,Maxima
1973,60.3
1974,54
1975,64.8
1976,61.4
1977,60
1978,46.4
1979,81.3
1980,90
1981,50.3
1982,145
1983,81.2
1984,86.3
1985,61.4
1986,46.1
1987,67
1988,68.9
1989,75
1990,47.8
1991,60.4
1992,89.4
1993,65.9
1994,79.3
1995,99.8
1996,50.1
1997,49.9
1998,84.8
1999,60
2000,58.7
2001,79.6
2002,61.5
2003,60
2004,96.7
2005,84.3
2006,105
2007,58.1
2008,108.9
2009,114.4
2010,97.5
2011,68.6
2012,75.2
2013,72.3
