UF,DF
Cidade,BRASILIA
Nome Posto,ETE SUL
Latitude,-15.84138888888889
Longitude,-47.90861111111111
Codigo,1547008
Qtd. Anos,49
Ano,Maxima
1971,68.3
1972,92.1
1973,65.6
1974,51.2
1975,58.7
1976,117.3
1977,91.3
1978,56
1979,81.2
1980,88
1981,93.6
1982,71.6
1983,92.4
1984,63.5
1985,66.8
1986,116.3
1987,80.8
1988,51.8
1989,64.2
1990,95.7
1991,56.3
1992,94
1993,87
1994,79
1995,70.4
1996,52.2
1997,110.2
1998,90.2
1999,111
2000,72.4
2001,67
2002,65.6
2003,61
2004,79.2
2005,83.8
2006,79
2007,69
2008,74.2
2009,52
2010,57.2
2011,115.9
2012,72
2013,129
2014,45
2015,42.9
2016,112
2017,78
2018,100
2019,78
