UF,DF
Cidade,BRASILIA
Nome Posto,CPAC - CHAPADA
Latitude,-15.591666666666667
Longitude,-47.7
Codigo,1547025
Qtd. Anos,38
Ano,Maxima
1978,92.5
1979,107.5
1980,73.7
1981,81.8
1982,91.8
1983,84.3
1984,78.4
1985,76.3
1986,49.4
1987,61.8
1988,93.5
1989,82.4
1990,119.7
1991,86
1992,90
1993,58.2
1994,92.6
1995,68
1996,70
1997,70
1998,56.4
1999,66
2000,80
2001,42.7
2002,53.6
2003,48.4
2004,111.1
2005,94.4
2006,53.3
2007,75.7
2008,84.4
2009,59.4
2010,63.1
2011,64.8
2012,73.8
2013,71.4
2014,80
2015,63.4
