UF,DF
Cidade,BRASILIA
Nome Posto,CAESB-HIDROLOGIA
Latitude,-15.775555555555556
Longitude,-47.90555555555555
Codigo,1547029
Qtd. Anos,20
Ano,Maxima
1999,64.8
2000,66.4
2001,91.4
2002,52.2
2003,65.3
2004,68.7
2005,94.6
2006,130.4
2007,62.2
2008,77.5
2009,92.6
2010,51.3
2011,65.1
2012,94.6
2013,79.6
2014,11
2016,46
2017,80.6
2018,82.4
2019,57.7
