UF,PE
Cidade,MOREILANDIA
Nome Posto,SITIO DOS MOREIRAS
Latitude,-7.733333333333333
Longitude,-39.55
Codigo,739029
Qtd. Anos,59
Ano,Maxima
1934,15.5
1935,7.2
1936,60.3
1937,78.2
1938,25.1
1939,93.3
1940,60.1
1941,62.4
1942,65.2
1943,69.4
1944,50.4
1945,71.8
1946,44.2
1947,56.2
1948,99.3
1949,58.2
1950,60.6
1951,65.2
1952,94.5
1953,66.5
1954,69.1
1955,69.6
1956,106.2
1957,43.2
1958,25.4
1959,48.2
1962,64.6
1963,76.4
1964,63.8
1965,97.4
1966,74.2
1967,72.6
1968,55.2
1969,83.2
1970,144.5
1971,90.7
1972,56.1
1973,56.6
1974,124.3
1975,45
1976,44.2
1977,46.6
1978,32.1
1979,75.2
1980,75.2
1981,87
1982,107
1983,50
1984,62
1985,58
1986,57
1987,46
1988,105
1989,66
1990,70
1991,64
1992,50
1993,31
1994,98
