UF,PE
Cidade,PARNAMIRIM
Nome Posto,PARNAMIRIM (LEOPOLDINA)
Latitude,-8.083333333333334
Longitude,-39.56666666666667
Codigo,839012
Qtd. Anos,75
Ano,Maxima
1911,12.7
1912,66.3
1913,52.5
1914,71.8
1915,157.5
1916,68.7
1917,58.6
1918,76.4
1919,60
1920,67.4
1921,102.8
1922,51.5
1923,82.3
1924,66.8
1925,66.3
1926,39.1
1927,40.5
1928,66.8
1929,61.5
1930,66.5
1931,26.9
1932,36.4
1933,47.5
1934,63.8
1935,69.5
1936,71.2
1937,55.5
1938,90
1939,90
1940,75.4
1941,74
1942,60
1943,50
1944,61
1945,60
1946,41.6
1947,106
1948,172.5
1949,95
1950,126
1951,215
1952,42
1953,106
1954,120.8
1955,67
1956,55
1957,57.2
1958,53.5
1959,55
1960,39
1961,40.5
1962,56
1963,120
1964,72.5
1965,52.5
1966,72.3
1967,53.5
1968,92.4
1969,77.6
1970,84.2
1971,80.2
1972,93.3
1973,57.2
1974,95
1975,48.2
1976,140
1977,56
1978,70
1979,40
1981,30
1982,42
1983,84
1984,15
1985,105.2
1986,3.2
