UF,PE
Cidade,OURICURI
Nome Posto,SANTA CRUZ (CRUZ DE MALTA)
Latitude,-8.266666666666667
Longitude,-40.25
Codigo,840019
Qtd. Anos,59
Ano,Maxima
1935,57.2
1936,42.8
1937,76.5
1938,96
1939,57
1940,60.9
1941,65
1942,88.2
1943,60
1944,100.1
1945,68.1
1946,64.3
1947,59
1948,60
1949,71
1950,80
1951,63
1952,35
1953,100
1954,60
1955,90
1956,70
1957,66
1958,35
1959,65
1960,30
1961,53
1962,74
1963,50
1964,40
1965,38.6
1966,38.6
1967,62.3
1968,38
1969,38.6
1970,66.3
1971,63.3
1972,75.2
1973,51
1974,48.2
1975,42.6
1976,69.2
1977,53
1978,100
1979,50
1980,57
1981,100
1982,32
1983,31.6
1984,75
1985,89.6
1986,69
1987,82
1988,75
1989,100
1990,67
1991,72
1992,28.5
1993,37
