UF,PE
Cidade,SERTANIA
Nome Posto,ALGODOES
Latitude,-8.316666666666666
Longitude,-37.38333333333333
Codigo,837039
Qtd. Anos,59
Ano,Maxima
1933,21.8
1934,180.4
1935,78
1936,94.2
1937,226
1938,43.2
1939,45
1940,120
1941,50.5
1942,60.5
1943,102
1944,36.4
1945,186.2
1946,48.5
1947,52.3
1948,38.2
1949,54.5
1950,102.5
1951,30.3
1952,207
1953,43.2
1954,112.1
1955,64.6
1956,40.2
1957,185.5
1958,235
1959,82.5
1960,62
1961,32
1962,42.2
1964,16.2
1966,55.7
1967,75
1968,25.2
1969,37.2
1970,64
1971,62.3
1972,49.4
1973,62.3
1974,75
1975,46.2
1976,65
1977,94.2
1978,50.4
1979,70.7
1980,32.5
1981,60.4
1982,32.4
1983,50.3
1984,89.2
1985,84.1
1986,50
1987,36
1988,127
1989,65
1990,62.2
1991,50.2
1992,60
1993,16.3
