UF,PE
Cidade,VITORIA DE SANTO ANTAO
Nome Posto,VITORIA DE SANTO ANTAO
Latitude,-8.11361111111111
Longitude,-35.28388888888889
Codigo,835068
Qtd. Anos,97
Ano,Maxima
1920,40.7
1921,69
1922,136.5
1923,52
1924,58.5
1925,45.5
1926,64.5
1927,66
1928,70.5
1929,69
1930,53.3
1934,90.8
1935,72.4
1936,86.8
1937,35.3
1938,68.1
1939,54.1
1940,132.3
1941,74.5
1942,55.8
1943,60
1944,62.5
1945,99.9
1946,59.5
1947,83.5
1948,57.6
1949,59.5
1950,41.2
1951,40.3
1952,24.2
1953,40
1954,55
1955,55
1956,43
1957,46
1958,60
1959,66.9
1960,68
1961,146
1962,94.5
1963,28
1964,35
1965,87
1966,48.5
1967,15.7
1968,14
1969,34.5
1970,82.5
1971,42.3
1972,58.3
1973,56.2
1974,68.4
1975,122.8
1976,53.4
1977,92.7
1978,70.8
1979,52.3
1980,155.4
1981,133
1982,51.2
1983,52.3
1984,59.5
1985,81
1986,107.4
1987,82.4
1988,92.8
1989,63.4
1990,115.4
1991,75.8
1992,67.4
1993,65.6
1994,133
1995,32
1996,63
1997,60
1998,31
1999,38
2000,78.2
2001,31.4
2002,68
2003,34.2
2004,42.1
2005,89.7
2006,31.5
2007,19.2
2008,12.8
2009,19
2010,180.4
2011,77.6
2012,46.8
2013,47.2
2014,34.6
2015,68.9
2016,52.1
2017,69.4
2018,32.5
2019,66.7
