UF,PE
Cidade,PARNAMIRIM
Nome Posto,POCO DO FUMO
Latitude,-8.177777777777777
Longitude,-39.731388888888894
Codigo,839014
Qtd. Anos,58
Ano,Maxima
1962,32
1963,139
1964,58.7
1965,52.3
1966,38.4
1967,75.1
1968,52.7
1969,101.8
1970,53.6
1971,72
1972,48.8
1973,42.7
1974,54.8
1975,63.5
1976,69.4
1977,41
1978,78.4
1979,81
1980,76
1981,62
1982,71.3
1983,66
1984,66
1985,91.3
1986,41.2
1987,33.1
1988,112.4
1989,74.2
1990,76.2
1991,114
1992,108
1993,28.4
1994,113
1995,68.5
1996,60.8
1997,80
1998,47.5
1999,81
2000,52.3
2001,100.7
2002,71.2
2003,53.2
2004,75.8
2005,48
2006,71.8
2007,45.5
2008,44.5
2009,44.2
2010,38.8
2011,63.6
2012,92.3
2013,47.3
2014,29.7
2015,46.3
2016,83.2
2017,29.9
2018,86.6
2019,59.1
