UF,PE
Cidade,SANTA MARIA DA BOA VISTA
Nome Posto,JUTAI (JATOBA DE STA. BARBARA)
Latitude,-8.633333333333333
Longitude,-40.233333333333334
Codigo,840012
Qtd. Anos,55
Ano,Maxima
1935,55
1936,106.6
1937,77.3
1938,59
1939,33.8
1940,106.4
1941,77.3
1942,84
1943,65
1944,51.5
1945,69.3
1946,45.3
1947,76.3
1948,114
1949,58
1950,85
1951,45
1952,75.6
1953,66.5
1954,78
1955,78.6
1956,68
1957,52.3
1958,42
1959,39.5
1960,62.3
1962,72.4
1963,118
1964,125
1965,67.4
1966,84
1967,60.2
1968,60.2
1969,79
1970,79
1971,60
1972,46
1973,79
1974,102.2
1975,60.4
1976,54.2
1977,46
1978,58
1979,60.2
1980,88
1981,110.3
1982,45.2
1983,30.2
1984,87.2
1985,93
1989,104.2
1990,28.4
1991,33
1992,144.4
1993,64.8
