UF,PE
Cidade,SALGADINHO
Nome Posto,SALGADINHO
Latitude,-7.942777777777778
Longitude,-35.634166666666665
Codigo,735067
Qtd. Anos,58
Ano,Maxima
1962,5.3
1963,91
1964,4.2
1965,12.6
1966,38.3
1967,25
1968,29.2
1969,100.2
1970,100
1971,100
1972,65.5
1973,40.2
1974,55.4
1975,87
1976,76
1977,57.8
1978,58.4
1979,45.8
1980,85.2
1981,505.3
1982,39.8
1983,45.1
1984,50.2
1985,66
1986,72.8
1987,89.2
1988,68.6
1989,40.8
1990,67.6
1991,42.2
1992,68.4
1993,79.2
1994,70.2
1995,75.4
1996,49.6
1997,45.6
1998,21.2
1999,58.1
2000,81.1
2001,51.4
2002,93.5
2003,45.7
2004,73.8
2005,98.3
2006,52.1
2007,42.1
2008,45.7
2009,57.1
2010,131.3
2011,110.2
2012,57.5
2013,42.7
2014,101.2
2015,41.9
2016,42.1
2017,91.5
2018,41.9
2019,48.9
