UF,PE
Cidade,GARANHUNS
Nome Posto,GARANHUNS
Latitude,-8.883333333333333
Longitude,-36.483333333333334
Codigo,836015
Qtd. Anos,47
Ano,Maxima
1920,24.2
1921,36
1922,39.3
1923,66
1924,108.5
1925,38.2
1926,51.5
1927,14
1928,32
1929,64.7
1930,68.7
1931,48.3
1932,30.5
1933,30.5
1934,45.7
1935,45.7
1936,40.3
1937,101
1938,41.8
1939,39.3
1940,60.4
1941,65.7
1942,69.2
1943,24.2
1944,65.8
1945,676.8
1946,53.8
1947,79.8
1948,66.2
1949,67.7
1950,81.9
1951,41.7
1952,21.8
1953,42.3
1954,71.3
1955,57.6
1956,30.3
1957,62.2
1958,68.4
1959,40.6
1960,85.3
1961,46.9
1962,67.6
1968,55.7
1969,79.3
1970,56.5
1984,76.3
