UF,PE
Cidade,AGUAS BELAS
Nome Posto,AGUAS BELAS-2
Latitude,-9.116666666666667
Longitude,-37.11666666666667
Codigo,937000
Qtd. Anos,70
Ano,Maxima
1920,15.5
1921,20.5
1922,14.5
1923,27.2
1924,36.7
1925,37.6
1926,29.6
1927,30.5
1928,10.2
1929,38.6
1930,28.5
1931,20.3
1932,15.5
1933,42.3
1934,45.8
1935,50.2
1936,38.5
1937,38.2
1938,39.4
1939,39.5
1940,50.1
1941,58.2
1942,48.6
1943,62.7
1944,68.4
1945,42.5
1946,65.8
1947,50.8
1948,61.4
1949,64.2
1950,38.5
1951,40.5
1952,55
1953,69.8
1954,61
1955,62.6
1956,42.9
1957,49.5
1958,56.4
1959,46.5
1960,47.8
1961,110
1962,41.5
1963,56
1964,50.2
1965,59.4
1966,22.9
1967,65
1968,89.2
1969,94
1970,26.8
1971,38.9
1972,64.3
1973,68.8
1974,68
1975,77.7
1976,67.1
1977,131.6
1978,63.8
1979,91.6
1980,33.9
1981,64.9
1982,42.1
1983,62.8
1984,35
1985,50
1986,42.2
1989,144
1990,56
1991,25
