UF,PE
Cidade,FLORESTA
Nome Posto,FLORESTA-1
Latitude,-8.6
Longitude,-38.583333333333336
Codigo,838020
Qtd. Anos,53
Ano,Maxima
1926,66.5
1927,36.2
1928,60
1929,64
1930,66
1931,28
1932,66
1933,30
1934,70
1935,111
1936,40
1937,192
1938,139.6
1939,17
1940,70
1941,109.9
1942,59
1943,45
1944,52.2
1945,44
1946,54.5
1947,84
1948,62
1949,45.6
1950,68.3
1951,31.5
1952,94
1953,120
1954,68
1955,55.9
1956,46
1957,94.5
1958,17
1959,67.5
1960,69
1961,45
1962,130
1963,84
1964,80
1965,45.2
1966,77.7
1967,104.7
1968,214
1969,40.1
1970,157.5
1972,97
1973,44
1974,118
1975,119
1976,76
1977,143.8
1978,72
1979,91
