UF,PE
Cidade,SANTA MARIA DA BOA VISTA
Nome Posto,SANTA MARIA DA BOA VISTA
Latitude,-8.8
Longitude,-39.833333333333336
Codigo,839018
Qtd. Anos,89
Ano,Maxima
1911,7.5
1912,64.7
1913,57.1
1914,77.1
1915,44
1916,78
1917,90
1918,60.8
1919,50
1920,69.7
1921,67
1922,50.6
1923,64.1
1924,75.3
1925,50
1926,67.8
1927,43.2
1928,48.5
1929,64.5
1930,60.8
1931,25
1932,25.8
1933,64.9
1934,41.6
1935,63.8
1936,62.7
1937,64.5
1938,35.2
1939,48.4
1940,68.4
1941,72
1942,36
1943,76.5
1944,44.2
1945,90
1946,109
1947,83.5
1948,47.6
1949,76.5
1950,118
1951,60
1952,120
1953,53
1954,11.5
1955,19
1956,53
1957,85
1958,65
1959,42
1960,172
1961,46
1962,55
1963,48
1964,97.3
1965,36.3
1966,106.4
1967,63.8
1968,100.3
1969,73.4
1970,51.2
1971,83
1972,94
1976,43.3
1977,25.5
1978,58
1979,77.4
1980,166
1981,69
1999,47.2
2000,65.3
2001,61.4
2002,56.7
2003,56.4
2004,73.5
2005,43.7
2006,53.3
2007,41
2008,33.5
2009,149.5
2010,49.4
2011,105.5
2012,26.8
2013,58.8
2014,46.1
2015,64.9
2016,49.5
2017,20.7
2018,89
2019,49
