UF,PE
Cidade,IBIMIRIM
Nome Posto,MOXOTO
Latitude,-8.716666666666667
Longitude,-37.53333333333333
Codigo,837028
Qtd. Anos,56
Ano,Maxima
1934,26.4
1935,80
1936,45
1937,120.7
1938,24
1939,27.2
1940,84.5
1941,130.4
1942,58.6
1943,101.5
1944,75.3
1945,64
1946,35.4
1947,59.2
1948,30.8
1949,34.8
1950,49.2
1951,72.4
1952,54.1
1953,42.4
1954,44.8
1955,36
1956,95
1957,66.7
1958,58.9
1959,21
1960,57.7
1961,73.5
1962,23.3
1963,63.2
1964,60
1965,95.3
1966,42.2
1967,86.6
1968,70
1969,105.4
1970,55.5
1971,45
1972,27.6
1973,44.7
1974,120
1975,96
1976,116
1977,90.6
1978,172.4
1979,70
1980,204
1981,160
1982,170.4
1983,144
1984,114
1985,120.6
1986,100
1987,110.6
1988,124
1989,84.3
