UF,PE
Cidade,CARUARU
Nome Posto,CARUARU
Latitude,-8.302777777777779
Longitude,-36.01083333333333
Codigo,835106
Qtd. Anos,42
Ano,Maxima
1978,70.8
1979,47.3
1980,47.3
1981,58.3
1982,72
1983,76
1984,92
1985,186.8
1986,78
1987,50
1988,80.8
1989,48.6
1990,46.4
1991,68.8
1992,30.4
1993,61.9
1994,42.7
1995,49.8
1996,26.6
1997,40.5
1998,36.1
1999,39
2000,55.4
2001,82.6
2002,56.4
2003,27.1
2004,62.9
2005,89.7
2006,5.8
2007,36.6
2008,50
2009,50
2010,134.2
2011,75.2
2012,33.5
2013,40.7
2014,21.3
2015,20.9
2016,26.2
2017,150.6
2018,36.3
2019,28.5
