UF,PE
Cidade,CARPINA
Nome Posto,CARPINA (FLORESTA DOS LEOES)
Latitude,-7.85
Longitude,-35.25
Codigo,735046
Qtd. Anos,55
Ano,Maxima
1934,108.6
1935,84.6
1936,112.3
1937,63.7
1938,33.3
1939,110.8
1940,80
1941,68.4
1942,81.3
1943,73.7
1944,111.1
1945,71.6
1946,50.3
1947,72.7
1948,33
1949,36.4
1950,88
1951,46.4
1952,31
1953,41
1954,19
1955,24.7
1956,86
1957,50.4
1958,61.4
1959,84.6
1960,84.6
1961,96
1963,71
1964,59.1
1965,56.3
1966,82.9
1967,58.5
1968,51.9
1969,64.5
1970,21.4
1971,80
1972,35
1973,43.6
1974,108.6
1975,81.2
1976,66
1977,180
1978,95.4
1979,39
1980,75.1
1981,1.8
1982,10.2
1983,63.8
1984,62.4
1985,80.2
1986,122.2
1987,33
1988,83.6
1989,75.6
