UF,PE
Cidade,ESCADA
Nome Posto,ESCADA
Latitude,-8.366666666666667
Longitude,-35.233333333333334
Codigo,835022
Qtd. Anos,63
Ano,Maxima
1920,49.5
1921,68.5
1922,66.7
1923,62.4
1924,50.2
1925,24.1
1926,31.8
1927,25.2
1928,19.1
1929,62.9
1930,51.8
1931,42.7
1932,68.7
1933,118.8
1934,74.8
1935,128.8
1936,184
1937,94.3
1938,87.3
1939,103.8
1940,158.2
1941,68.3
1942,165.2
1943,122.5
1944,127.3
1945,64.7
1946,54.1
1947,119.4
1948,126.8
1949,63.4
1950,109.6
1951,112.9
1952,52.4
1953,98.3
1954,68
1955,36.8
1956,76.4
1957,70.6
1958,101.4
1959,98.9
1960,90
1961,131
1962,126.3
1963,84
1964,35.2
1965,130
1966,78
1967,79
1968,50
1969,36.6
1970,85.1
1971,120
1972,140
1973,31.3
1974,60.5
1975,57
1976,50
1977,26.3
1978,46.1
1979,90.5
1980,116.1
1981,56
1983,120.4
