UF,PE
Cidade,BOM JARDIM
Nome Posto,BOM JARDIM
Latitude,-7.8
Longitude,-35.583333333333336
Codigo,735041
Qtd. Anos,82
Ano,Maxima
1911,15.8
1912,40
1913,76.4
1914,64.3
1915,77.8
1916,86.2
1917,90.6
1918,127.4
1919,125
1920,305
1921,161.1
1922,180
1923,173
1924,192.3
1925,192
1926,234.3
1927,197.3
1928,299
1929,122
1930,162
1931,226.1
1932,131
1933,169
1934,47.2
1935,51
1936,53.4
1937,60
1938,61
1939,69
1940,60
1941,49
1942,60
1943,60.7
1944,59
1945,60
1946,46
1947,90.5
1948,87.6
1949,91.4
1950,80
1951,83.8
1952,50.7
1953,87.2
1954,99.4
1955,51
1956,76.4
1957,37
1958,35.3
1959,42
1961,86.2
1962,59
1963,129.6
1964,67
1965,70.1
1966,104
1967,57
1968,47.5
1969,52.8
1970,120.8
1971,49.1
1972,92.3
1973,68.2
1974,95.2
1975,124.8
1976,28.2
1977,84
1978,178.7
1979,66
1980,63
1981,68
1982,50.1
1983,26.5
1984,96.7
1985,52.4
1986,63.2
1987,69.1
1988,63.2
1989,52
1990,73.4
1991,35.4
1992,62.7
1993,39.1
