UF,PE
Cidade,OURICURI
Nome Posto,BARRA DE SAO PEDRO (MANACA)
Latitude,-7.833333333333333
Longitude,-40.333333333333336
Codigo,740016
Qtd. Anos,60
Ano,Maxima
1934,40
1935,53.5
1936,56
1937,95
1938,60
1939,37.5
1940,84.6
1941,36.5
1942,110
1943,68.6
1944,150
1945,60
1946,123
1947,69.4
1948,80.2
1949,75.2
1950,60.3
1951,71.8
1952,53.6
1953,76.2
1954,90
1955,84.8
1956,74.6
1957,70.1
1958,50.2
1959,62.3
1960,83.2
1961,65.4
1962,84.3
1963,74.4
1964,62.1
1965,79
1966,381.2
1967,67.1
1968,86.2
1969,57.1
1970,119.2
1971,86.4
1972,50
1973,95
1974,69.4
1975,44.4
1976,69.4
1977,72.4
1978,42.8
1979,104.2
1980,65.6
1981,82.8
1982,82
1983,93
1984,62
1985,92
1986,75.6
1987,45.2
1988,59
1989,115
1990,61.4
1991,40.2
1992,85
1993,55
