UF,PE
Cidade,PESQUEIRA
Nome Posto,PESQUEIRA
Latitude,-8.366666666666667
Longitude,-36.7
Codigo,836032
Qtd. Anos,66
Ano,Maxima
1920,36.2
1921,64
1922,53
1923,65
1924,75
1925,61.5
1926,66
1927,56
1928,65
1929,67
1930,57.5
1935,21.2
1936,64.5
1937,65.5
1938,61.4
1939,61.2
1940,72
1941,44.5
1942,44.7
1943,43.6
1944,66
1945,50
1946,54.6
1947,63
1948,71.5
1949,64.2
1950,65.8
1951,66
1952,62.5
1953,53
1954,70.4
1955,59.4
1956,115
1957,50
1958,71
1959,110.2
1960,53.5
1961,112.5
1962,70.2
1963,95.8
1964,59.1
1965,25.2
1966,18.2
1967,31.5
1968,45.2
1969,0.2
1970,37.2
1971,86.8
1972,178
1973,43.1
1974,76.1
1975,81
1976,13
1977,46
1978,31.3
1979,42
1980,32
1981,83
1982,95
1983,100
1984,79
1985,99.6
1986,70.2
1987,89.6
1988,67.2
1989,100
