UF,PE
Cidade,OURICURI
Nome Posto,SANTA FILOMENA (MUNDURI)
Latitude,-8.133333333333333
Longitude,-40.583333333333336
Codigo,840021
Qtd. Anos,60
Ano,Maxima
1934,33.5
1935,67.7
1936,70.3
1937,56
1938,62.2
1939,35
1940,53.4
1941,91.5
1942,68.2
1943,68.2
1944,47
1945,65
1946,71.6
1947,60
1948,197.3
1949,120
1950,87.5
1951,69.2
1952,161.8
1953,130.8
1954,78.3
1955,55.3
1956,74.3
1957,51.3
1958,49.2
1959,42
1960,102.3
1961,91
1962,49.4
1963,45
1964,86.3
1965,21.4
1966,25.4
1967,42.3
1968,134
1969,80.6
1970,51
1971,48.6
1972,58
1973,118
1974,62
1975,72.4
1976,40
1977,40.1
1978,89.6
1979,71
1980,73.4
1981,71.8
1982,44.4
1983,21.2
1984,72.8
1985,86.8
1986,50
1987,62
1988,56.8
1989,82.4
1990,46
1991,65
1992,53
1993,26.6
